"p014" "p1544" "p4564" "p65." "pop"
"Austria" 17 44.2 23.4 15.5 8082.8
"Belgium" 17.7 42.2 23.5 16.6 10213.8
"Denmark" 18.2 41.6 25.3 14.9 5313.6
"Finland" 18.4 40.8 26.1 14.7 5159.6
"France" 19 42.5 22.8 15.8 58973.2
"Luxembourg" 18.8 43.7 23.2 14.3 429.2
"Netherlands" 18.5 44 24 13.5 15760.2
"Portugal" 16.9 44.9 23.1 15.2 9979.5
"Sweden" 18.6 39.2 24.9 17.4 8854.3
"UK" 19.2 42.1 23.1 15.7 59391.1
"Germany" 15.8 42.5 25.8 15.9 82037
"Greece" 15.4 43.6 24.1 16.9 10521.7
"Italy" 14.5 42.9 24.9 17.7 57612.6
"Spain" 15.3 46.1 22.2 16.4 39394.3
"Ireland" 22.2 46.2 20.3 11.3 3734.9
